symptom,shap_importance
severity_score,0.01492517231783233
symptom_count,0.014202685340104153
high_fever,0.0101821676602117
loss_of_appetite,0.008402379165583885
abdominal_pain,0.007818939884562417
vomiting,0.0076235689749427045
fatigue,0.006806167223585919
chills,0.005235023705193978
malaise,0.005104374113747918
nausea,0.005046187860831189
yellowing_of_eyes,0.004992715845418774
itching,0.004797544554412122
yellowish_skin,0.004760050906361205
muscle_pain,0.004142510476752314
respiratory_cluster,0.004001062047782096
hepatitis_cluster,0.00347347574667642
dark_urine,0.002941267064597192
headache,0.002362033808372185
skin_rash,0.002288591672166263
chest_pain,0.002141771510056857
mild_fever,0.0021304334663059233
joint_pain,0.0020523318122923754
swelled_lymph_nodes,0.0020413746667578697
phlegm,0.0019881069614207103
burning_micturition,0.001720073899323764
sweating,0.0014615226904819312
breathlessness,0.0014493714131961588
cough,0.0012812742239608759
diarrhoea,0.0010504992197532229
pain_during_bowel_movements,0.0010120097100215825
lethargy,0.0010026254547268432
bloody_stool,0.0009935197967747636
constipation,0.0009359344273272936
family_history,0.0009253381848375038
internal_itching,0.0008714298565175686
weight_loss,0.0008586817576146093
fluid_overload.1,0.0008122960172739266
watering_from_eyes,0.0007825610749038534
nodal_skin_eruptions,0.0007711013313919812
history_of_alcohol_consumption,0.0007194511170450726
increased_appetite,0.0006835599728541042
red_spots_over_body,0.000674076905382984
polyuria,0.0006650157393872044
fast_heart_rate,0.0006546111566550087
distention_of_abdomen,0.0006483557334911216
rusty_sputum,0.000635424774954017
bladder_discomfort,0.0006261864508149
passage_of_gases,0.0006144419307179663
continuous_sneezing,0.0006108064595704614
stomach_bleeding,0.0006022028431299671
stomach_pain,0.0006018486689377943
coma,0.0005958065837211562
pain_in_anal_region,0.0005387161298809071
receiving_unsterile_injections,0.000518246942458949
receiving_blood_transfusion,0.000486441363251354
dischromic__patches,0.00047767488913118787
continuous_feel_of_urine,0.0004651166088107508
blood_in_sputum,0.00044900633176789593
pain_behind_the_eyes,0.0004438225466503816
spotting__urination,0.0004254000989590468
shivering,0.0004114417457863084
irritation_in_anus,0.0003901253417725122
loss_of_smell,0.00038725304226274804
back_pain,0.00038014531945695755
runny_nose,0.0003797019444593333
redness_of_eyes,0.00034117756903005275
yellow_urine,0.00032158014066218304
obesity,0.00032010567429661355
congestion,0.0003180951909702192
mucoid_sputum,0.00030085416479684927
throat_irritation,0.00029209085975394095
toxic_look_(typhos),0.000291743533205876
acute_liver_failure,0.00028094098933890846
swelling_of_stomach,0.00022822670527091802
belly_pain,0.00021683745935407195
foul_smell_of_urine,0.0002087162764426039
sinus_pressure,0.00020654255721412823
blurred_and_distorted_vision,0.00017450952172355923
indigestion,0.00013416034689265143
restlessness,0.00012228654789158896
irregular_sugar_level,0.00011295575625789156
excessive_hunger,9.706931744809757e-05
mood_swings,0.0
dehydration,0.0
Urinating_a_lot,0.0
